规范中文名,规范日文名,IP来源,是否纳入日本主分析,匹配别名
Lost Eidolons,Lost Eidolons,跨国,否,Lost Eidolons|ロストアイドロン
Bucky O'Hare,バッキーオヘア,跨国,否,バッキーオヘア|Bucky O'Hare
GB原人,GB原人,日本,是,GB原人
疯狂城市,マッドシティ,日本,是,マッドシティ|疯狂城市
Kalafina,Kalafina,日本,否,Kalafina
女皇之刃,クイーンズブレイド,日本,是,クイーンズブレイド|女皇之刃
Tiny Troopers,Tiny Troopers,跨国,否,Tiny Troopers|TinyTroopers
Necromunda,Necromunda,跨国,否,Necromunda|ネクロムンダ
Serena Recital,セレーナ・レシタール,日本,是,セレーナ・レシタール|Serena Recital
灵笼,霊籠,跨国,否,霊籠|灵笼
抽签不均衡,くじびきアンバランス,日本,是,くじびきアンバランス|抽签不均衡
干物妹小埋,干物妹！うまるちゃん,日本,是,干物妹！うまるちゃん|干物妹小埋|干物妹!うまるちゃん|うまるちゃん|干物妹うまるちゃん
月刊少女野崎君,月刊少女野崎くん,日本,是,月刊少女野崎くん|月刊少女野崎君|御子柴実琴
田村由香里,田村ゆかり,日本,否,田村ゆかり|田村由香里
Gunya Monster,グーニャモンスター,日本,是,グーニャモンスター|Gunya Monster
GORD,GORD,跨国,否,GORD
姆明,ムーミン,跨国,否,ムーミン|姆明
St.凤梨月亮,St.パイナップル・ムーン,日本,是,St.パイナップル・ムーン|St.凤梨月亮|パイナップルムーン|パイナップル・ムーン|St.パイナップルムーン
漫画希腊神话,マンガギリシア神話,日本,否,マンガギリシア神話|漫画希腊神话
渡边雅子恐怖剧场,わたなべまさこ 恐怖劇場,日本,否,わたなべまさこ 恐怖劇場|渡边雅子恐怖剧场
革神语,アラタカンガタリ〜革神語〜,日本,是,アラタカンガタリ〜革神語〜|革神语|アラタカンガタリ
亚尔斯兰战记,アルスラーン戦記,日本,是,アルスラーン戦記|亚尔斯兰战记
音击,オンゲキ,日本,是,オンゲキ|音击
水晶龙,クリスタル・ドラゴン,日本,是,クリスタル・ドラゴン|水晶龙|クリスタルドラゴン
灰姑娘之森,シンデレラの森,日本,是,シンデレラの森|灰姑娘之森
拓美君系列,タクミくんシリーズ,日本,是,タクミくんシリーズ|拓美君系列
棒球英豪,タッチ（あだち充）,日本,是,タッチ（あだち充）|棒球英豪|タッチ BEST|タッチ Best Song Book|あだち充 タッチ
切萨雷,チェーザレ 破壊の創造者,日本,是,チェーザレ 破壊の創造者|切萨雷|チェーザレ
尼罗之鹰,ナイルの鷹,日本,是,ナイルの鷹|尼罗之鹰
美神,美神,日本,是,美神
魔天道奏鸣曲,魔天道ソナタ,日本,是,魔天道ソナタ|魔天道奏鸣曲
Wonder Witch,ワンダーウィッチ,日本,是,ワンダーウィッチ|Wonder Witch
GT CUBE,GT CUBE,跨国,否,GT CUBE
美龙酱成长日记,めろんちゃんの成長日記,日本,否,めろんちゃんの成長日記|美龙酱成长日记
KAGE,KAGE,跨国,否,KAGE
特急指令索尔布雷因,特急指令ソルブレイン,跨国,否,特急指令ソルブレイン|特急指令索尔布雷因
Fumiko Ozette,ふみこ・オゼット・ヴァンシュタイン,日本,是,ふみこ・オゼット・ヴァンシュタイン|Fumiko Ozette
世界足球,ワールドサッカー,跨国,否,ワールドサッカー|世界足球
Gunpey,GUNPEY,日本,是,GUNPEY|Gunpey|グンペイ
精灵幻想记,精霊幻想記,日本,是,精霊幻想記|精灵幻想记
北原收藏,北原コレクション,跨国,否,北原コレクション|北原收藏
SWAN/天鹅,SWAN,日本,是,SWAN|SWAN/天鹅|SWAN 白鳥|白鳥 愛蔵版
从抽签开始的订婚生活,「くじ」から始まる婚約生活,日本,是,「くじ」から始まる婚約生活|从抽签开始的订婚生活|くじから始まる婚約生活
怒之铁拳,ベア・ナックル,日本,是,ベア・ナックル|怒之铁拳|ベア・ナックルIV|Bare Knuckle|Streets of Rage
不问往来,とはずがたり,日本,否,とはずがたり|不问往来
木乃伊老师,ミイラ先生,日本,是,ミイラ先生|木乃伊老师
末代皇帝,ラストエンペラー,跨国,否,ラストエンペラー|末代皇帝
鲁邦练习曲,ルパン・エチュード,日本,是,ルパン・エチュード|鲁邦练习曲
不可思议国的一千一夜,不思議の国の千一夜,日本,是,不思議の国の千一夜|不可思议国的一千一夜|不思議の国の千夜一夜
伯爵卡因,伯爵カインシリーズ,日本,是,伯爵カインシリーズ|伯爵卡因|伯爵カイン
伯爵令嬢,伯爵令嬢,日本,是,伯爵令嬢
阿尔卑斯山的少女,アルプスの少女ハイジ,日本,是,アルプスの少女ハイジ|阿尔卑斯山的少女
陵子的心灵事件簿,陵子の心霊事件簿,日本,是,陵子の心霊事件簿|陵子的心灵事件簿
妖兽姬,妖獣姫,日本,是,妖獣姫|妖兽姬
春逝レトロチカ,春ゆきてレトロチカ,日本,是,春ゆきてレトロチカ|春逝レトロチカ
YOASOBI,YOASOBI,日本,否,YOASOBI
八人的英雄,八人の英雄,跨国,否,八人の英雄|八人的英雄
织女的祈祷,織姫の祈り,跨国,否,織姫の祈り|织女的祈祷
淡淡幽情,淡淡幽情,跨国,否,淡淡幽情
无赖BURAI,無頼,日本,是,無頼|无赖BURAI|無頼-BURAI|BURAI
百鬼夜行抄,百鬼夜行抄,日本,是,百鬼夜行抄
我看见的未来,私が見た未来,日本,否,私が見た未来|我看见的未来
Del Sol,デルソル,跨国,否,デルソル|Del Sol
WIXOSS,WIXOSS,日本,是,WIXOSS|WIXOSS|ウィクロス|selector infected WIXOSS|Lostorage incited WIXOSS|タマヨリヒメ|リメンバ|ウリス|タウィル＝ノル|ウムル＝ノル|メル＝レディ|ミュウ＝ハッチ|華代・零|グズ子|アロス・ピルルク|コード・ピルルク|羅輝石 マラカイト|羅星姫 タンサーフォー|幻水姫 アロワナ|幻怪姫 ヌラリ|幻竜姫 シファル|ナナシ 其の無|ミズバショウ
Paradise（BL游戏）,Paradise（PIL/SLASH）,日本,是,Paradise（PIL/SLASH）|PIL/SLASH|Paradise -KIWAME-|Paradise 極|Paradise 結|Paradise -MUSUBI-
CLOCK ZERO～终焉之一秒～,CLOCK ZERO ～終焉の一秒～,日本,是,CLOCK ZERO ～終焉の一秒～|CLOCK ZERO|クロックゼロ|CLOCK ZERO ～終焉の一秒～
哥斯拉,ゴジラ,日本,是,ゴジラ|ゴジラ|GODZILLA
地狱少女,地獄少女,日本,是,地獄少女|地獄少女|閻魔あい
野良神,ノラガミ,日本,是,ノラガミ|ノラガミ|夜ト
东京喰种,東京喰種トーキョーグール,日本,是,東京喰種トーキョーグール|東京喰種|トーキョーグール|金木研
关于我转生变成史莱姆这档事,転生したらスライムだった件,日本,是,転生したらスライムだった件|転生したらスライムだった件|転スラ|リムル
美食的俘虏,トリコ,日本,是,トリコ|「トリコ」
飙速宅男,弱虫ペダル,日本,是,弱虫ペダル|弱虫ペダル|巻島裕介
枪神,トライガン,日本,是,トライガン|トライガン|TRIGUN|ヴァッシュ・ザ・スタンピード
摇曳露营,ゆるキャン△,日本,是,ゆるキャン△|ゆるキャン|ゆるキャン△|へやキャン
机动警察,機動警察パトレイバー,日本,是,機動警察パトレイバー|機動警察パトレイバー|パトレイバー|泉野明
王样战队君王者,王様戦隊キングオージャー,日本,是,王様戦隊キングオージャー|王様戦隊キングオージャー|キングオージャー|クワガタオージャー
爆上战队奔奔者,爆上戦隊ブンブンジャー,日本,是,爆上戦隊ブンブンジャー|爆上戦隊ブンブンジャー|ブンブンジャー|ブンレッド
BanG Dream!,BanG Dream!,日本,是,BanG Dream!|BanG Dream!|バンドリ|バンドリ！|丸山彩|マスキング
卡片战斗先导者,カードファイト!! ヴァンガード,日本,是,カードファイト!! ヴァンガード|カードファイト!!ヴァンガード|カードファイトヴァンガード|カラフル・パストラーレ ソナタ|カラフル・パストラーレ キャロ|オーロラスター コーラル|薬剤の弾丸 エルミエル|ライブinユートピア ルカ
放置少女,放置少女,中国,否,放置少女|放置少女|放置少女〜百花繚乱の萌姫たち〜
想要成为影之实力者,陰の実力者になりたくて！,日本,是,陰の実力者になりたくて！|陰の実力者になりたくて|陰の実力者
B-PROJECT,B-PROJECT,日本,是,B-PROJECT|B-PROJECT|Bプロ|金城剛士|阿修悠太|増長和南|音済百太郎
K,K（アニメ）,日本,是,K（アニメ）|K RETURN OF KINGS|K SEVEN STORIES|K MISSING KINGS|K -Lost Small World-|伏見猿比古|八田美咲
怪兽8号,怪獣8号,日本,是,怪獣8号|怪獣8号|怪獣８号
陀螺战士,ベイブレード,日本,是,ベイブレード|Beyblade
魔法少女奈叶,魔法少女リリカルなのは,日本,是,魔法少女リリカルなのは|リリカルなのは|高町なのは
天气之子,天気の子,日本,是,天気の子
你的名字,君の名は。,日本,是,君の名は。|君の名は
全金属狂潮,フルメタル・パニック！,日本,是,フルメタル・パニック！|フルメタル・パニック|フルメタル?パニック
快盗战队鲁邦连者,快盗戦隊ルパンレンジャーVS警察戦隊パトレンジャー,日本,是,快盗戦隊ルパンレンジャーVS警察戦隊パトレンジャー|快盗戦隊ルパンレンジャー
铃芽之旅,すずめの戸締まり,日本,是,すずめの戸締まり
风之谷,風の谷のナウシカ,日本,是,風の谷のナウシカ
孤独摇滚,ぼっち・ざ・ろっく！,日本,是,ぼっち・ざ・ろっく！|ぼっち・ざ・ろっく|ぼっちざろっく|後藤ひとり
Drag-On Dragoon,ドラッグオンドラグーン,日本,是,ドラッグオンドラグーン|ドラッグ・オン・ドラグーン
姊嫁物语,乙嫁語り,日本,是,乙嫁語り
紫罗兰永恒花园,ヴァイオレット・エヴァーガーデン,日本,是,ヴァイオレット・エヴァーガーデン
利兹与青鸟,リズと青い鳥,日本,是,リズと青い鳥
吹响吧！上低音号,響け！ユーフォニアム,日本,是,響け！ユーフォニアム|響け!ユーフォニアム
石纪元,Dr.STONE,日本,是,Dr.STONE|ドクターストーン
只要你说你爱我,好きっていいなよ。,日本,是,好きっていいなよ。|好きっていいなよ
水星领航员,ARIA,日本,是,ARIA|ARIA The ANIMATION|ARIA The NATURAL|ARIA The ORIGINATION|ARIA The AVVENIRE|ARIA The CREPUSCOLO|ARIA The BENEDIZIONE
Little Armory,リトルアーモリー,日本,是,リトルアーモリー|Little Armory|LittleArmory
紫罗兰的晚钟,ピオフィオーレの晩鐘,日本,是,ピオフィオーレの晩鐘|ピオフィオーレ
弹珠人,ビーダマン,日本,是,ビーダマン
Dear Vocalist,ディア・ヴォーカリスト,日本,是,ディア・ヴォーカリスト|ディア?ヴォーカリスト|ディアヴォーカリスト|カレはヴォーカリスト
勇者王,勇者王ガオガイガー,日本,是,勇者王ガオガイガー|ガオガイガー
宇宙骑士铁甲人Blade,宇宙の騎士テッカマンブレード,日本,是,宇宙の騎士テッカマンブレード|テッカマンブレード|テッカマン
闪电十一人,イナズマイレブン,日本,是,イナズマイレブン|イナズマイレブンGO
异度神剑,ゼノブレイド,日本,是,ゼノブレイド|ゼノブレイド2|ゼノブレイド3|Xenoblade
斯普拉遁,スプラトゥーン,日本,是,スプラトゥーン|スプラトゥーン2|スプラトゥーン3|Splatoon
灵能百分百,モブサイコ100,日本,是,モブサイコ100|モブサイコ|Mob Psycho
纸箱战机,ダンボール戦機,日本,是,ダンボール戦機
Diaclone,ダイアクロン,日本,是,ダイアクロン
Black Star Theater Starless,ブラックスター -Theater Starless-,日本,是,ブラックスター -Theater Starless-|Theater Starless|ブラックスター|ブラスタ
SK8 the Infinity,SK∞ エスケーエイト,日本,是,SK∞ エスケーエイト|エスケーエイト|SK∞
22/7,ナナブンノニジュウニ,日本,是,ナナブンノニジュウニ
战姬绝唱,戦姫絶唱シンフォギア,日本,是,戦姫絶唱シンフォギア|シンフォギア|Symphogear
君主·埃尔梅罗二世事件簿,ロード・エルメロイII世の事件簿,日本,是,ロード・エルメロイII世の事件簿|ロード?エルメロイII世の事件簿|エルメロイ
失落的龙绊,ドラガリアロスト,日本,是,ドラガリアロスト|Dragalia Lost
弦音,ツルネ —風舞高校弓道部—,日本,是,ツルネ —風舞高校弓道部—|ツルネ
魔法使的约定,魔法使いの約束,日本,是,魔法使いの約束|まほやく
I★CHU,アイ★チュウ,日本,是,アイ★チュウ|アイチュウ
机战少女Alice,アリス・ギア・アイギス,日本,是,アリス・ギア・アイギス|アリス?ギア?アイギス|アリスギア
Girls Band Cry,ガールズバンドクライ,日本,是,ガールズバンドクライ
我想吃掉你的胰脏,君の膵臓をたべたい,日本,是,君の膵臓をたべたい
NU: Carnival,NU:カーニバル,日本,是,NU:カーニバル|NU：カーニバル|NUカーニバル
猫娘乐园,ネコぱら,日本,是,ネコぱら
狼与香辛料,狼と香辛料,日本,是,狼と香辛料|Spice and Wolf
吸血鬼骑士,ヴァンパイア騎士,日本,是,ヴァンパイア騎士
死亡爱丽丝,SINoALICE,日本,是,SINoALICE|シノアリス
异度装甲,ゼノギアス,日本,是,ゼノギアス|Xenogears
Metal Max,メタルマックス,日本,是,メタルマックス
幕末Rock,幕末Rock,日本,是,幕末Rock
银砂糖师与黑妖精,シュガーアップル・フェアリーテイル,日本,是,シュガーアップル・フェアリーテイル|シュガーアップル?フェアリーテイル|シュガーアップル
月之彼端,月の彼方で逢いましょう,日本,是,月の彼方で逢いましょう
尼尔：机械纪元,ニーア オートマタ,日本,是,ニーア オートマタ|ニーアオートマタ|NieR:Automata|NieR Automata|NieR: Automata|ニーア レプリカント|ニーアレプリカント|NieR Replicant
浪客剑心,るろうに剣心,日本,是,るろうに剣心
爆丸,爆丸,日本,是,爆丸|Bakugan
卡罗尔与星期二,キャロル&チューズデイ,日本,是,キャロル&チューズデイ|キャロル＆チューズデイ
春风的异邦人,春風のエトランゼ,日本,是,春風のエトランゼ
终远的威尔修,終遠のヴィルシュ,日本,是,終遠のヴィルシュ
妖怪手表,妖怪ウォッチ,日本,是,妖怪ウォッチ|Yo-kai Watch
东京复仇者,東京リベンジャーズ,日本,是,東京リベンジャーズ|東京卍リベンジャーズ
苍穹之战神,蒼穹のファフナー,日本,是,蒼穹のファフナー
Frame Arms,フレームアームズ,日本,是,フレームアームズ|フレームアームズ・ガール|フレームアームズ?ガール|フレームアームズガール
人造人间Kikaider,人造人間キカイダー,日本,是,人造人間キカイダー|キカイダー
苍之彼方的四重奏,蒼の彼方のフォーリズム,日本,是,蒼の彼方のフォーリズム|蒼の彼方
PriPara,プリパラ,日本,是,プリパラ
决斗大师,デュエルマスターズ,日本,是,デュエルマスターズ|デュエマ
我推的孩子,【推しの子】,日本,是,【推しの子】|Oshi no Ko
绝区零,ゼンレスゾーンゼロ,中国,是,ゼンレスゾーンゼロ|Zenless Zone Zero|ゼンレス
Battle Spirits,バトルスピリッツ,日本,是,バトルスピリッツ
Assemble Borg,アッセンブルボーグ,日本,是,アッセンブルボーグ
Maschinen Krieger,マシーネンクリーガー,日本,是,マシーネンクリーガー
忍者乱太郎,忍たま乱太郎,日本,是,忍たま乱太郎|忍たま
86不存在的战区,86-エイティシックス,日本,是,86-エイティシックス|86―エイティシックス|86—エイティシックス|エイティシックス|Eighty Six
冰菓,氷菓,日本,是,氷菓
细胞神曲,細胞神曲,日本,是,細胞神曲|Cell of Empireo
拉拉马吉,ららマジ,日本,是,ららマジ
交响诗篇优莱卡7,交響詩篇エウレカセブン,日本,是,交響詩篇エウレカセブン|エウレカセブン|Eureka Seven
千铳士,千銃士,日本,是,千銃士
高校星歌剧,スタミュ,日本,是,スタミュ|高校星歌劇
VAZZROCK,VAZZROCK,日本,是,VAZZROCK
四叶妹妹,よつばと!,日本,是,よつばと!|よつばと！|よつばと
白色相簿2,WHITE ALBUM2,日本,是,WHITE ALBUM2|WHITE ALBUM 2|ホワイトアルバム2
潘多拉之心,PandoraHearts,日本,是,PandoraHearts|Pandora Hearts|パンドラハーツ
兽娘动物园,けものフレンズ,日本,是,けものフレンズ|けもフレ|Kemono Friends
圣战士丹拜因,聖戦士ダンバイン,日本,是,聖戦士ダンバイン|ダンバイン
幽游白书,幽☆遊☆白書,日本,是,幽☆遊☆白書|幽遊白書
花谱,花譜,日本,是,花譜
Yorushika,ヨルシカ,日本,是,ヨルシカ|Yorushika
RADWIMPS,RADWIMPS,日本,是,RADWIMPS
多美卡,トミカ,日本,是,トミカ|Tomica|TOMICA|トミカリミテッドヴィンテージ|トミカリミテッド
